Eurovision Turin 2022 Total / https://eurovisionworld.com/eurovision/2022
country	total	Albania	Armenia	Australia	Austria	Azerbaijan	Belgium	Bulgaria	Croatia	Cyprus	Czech Republic	Denmark	Estonia	Finland	France	Georgia	Germany	Greece	Iceland	Ireland	Israel	Italy	Latvia	Lithuania	Malta	Moldova	Montenegro	Netherlands	North Macedonia	Norway	Poland	Portugal	Romania	San Marino	Serbia	Slovenia	Spain	Sweden	Switzerland	Ukraine	United Kingdom
Ukraine	631	17	16	19	12	18	18	12	18	19	16	17	12	12	22	18	22	10	22	15	19	12	24	24	8	24	16	12	8	15	24	20	22	14	7	18	12	12	13		12
United Kingdom	466	14	1	7	20	20	15	13		9	14	12	9	14	14	16	18	5	14	14	20	12	11	14	20	13	5	12	8	12	11	16	11	14	1	2	11	14	11	19	
Spain	459	12	20	18	3	15	16	16	13	14	13	5	1	3	12	11	10	17	6	17	11		4	11	19	11	16	12	22	8	7	22	9	22	14	5		14	14	1	15
Sweden	438	8	12	15	13	12	12		9	5	15	17	22	20		8	12	4	20	13	17	5	16	13	15	13	8	3	10	16	20	7	16	8	6	5	13		10	4	16
Serbia	312	3	6	16	10	6	6	10	24	11	10			14	8	7	7	8	1	6	7	11	2	1	6		24	3	22	3	5	8	7	8		18	8	12	12		2
Italy	268	20	10	4	6	15	12	3	10	6			10	2	3	10	3	8	6	6	11			7	17		16		13		4	3	8	8	4	18	15		10		
Moldova	253	1	6	4	7		8	7	8		8	5	6	5	10	8	10	9	6	7	6	15	7	5			7	12	7	4	7	8	12	4	12	7	7		4	6	8
Greece	215	12	5		4	6		18	3	22	3	12	6	6	3	4						10	7		1			12		19	2	4	2	17		12	2		12	7	4
Portugal	207	1	12	6	10	7	6	4	10		5	8	7		7	7		3	5	4		1	6	15		2	9	8		10	8		7		7	3	4		12	10	3
Norway	182			10	10	7		3	5		5	8	4	10			4	6	18	4	4	4	10	2	4	6	2	8	2		4	2	2	2	8	3	3	13	1	2	6
Netherlands	171	12	4		8	4	10		2			10	4	5	4	4	8	4	9		3	14	4	7			3			5	3	11	3			8		1	10	11	
Poland	151			3	4	3	7			3	7	4			12	2	8	10	4	10	7	3			6		4	6	2	5				4			1	5	1	12	18
Estonia	141	5	15	1					2		12	3		10									8	8	5	12	3	1	3	2	8		5		16			10		5	7
Lithuania	128		2	2					10	2		10	9	2		5			3	8			11			4	2		1	12	2	6			5	12		3		10	7
Australia	125					2	1			8	1		8	8			5	8		2	5	2	2		6	6		7	5		6		6	6			8	10	4	3	6
Azerbaijan	106	3		2			3	3		10			3	3		3	6	12							2	1	1		4					7	12		12	7		5	7
Switzerland	78				1			7	1		6	2					2					3	3	7		7		10	1	1	5	2	5	1		5	1			6	2
Romania	65							4		4					1		1	9		2		8			3	10								1	5		14				3
Belgium	64	2		5				6		2					6						4	7				5		10	3						8		5	1			
Armenia	61	4			6			10		1				1	12	10						8								4		1						2		2	
Finland	38	2									1		13			2						1	1		1										6			7		4	
Czech Republic	38			4			2								2			2	2	7	2				3				5						3			5		1	
Iceland	20											3								1				2								6								8	
France	17		7			1			1					1		1		1								2							1		2						
Germany	6				2								2																										2		
