1984 United States Congressional Voting Records Database
  https://paperswithcode.com/dataset/cvr
Source:  Congressional Quarterly Almanac, 98th Congress, 2nd session 1984, 
  Volume XL: Congressional Quarterly Inc., Washington, D.C., 1985.
by Jeff Schlimmer (Jeffrey.Schlimmer@a.gp.cs.cmu.edu), 27 April 1987 
Publications:
1. Schlimmer, J. C. (1987).  Concept acquisition through representational 
  adjustment. Doctoral dissertation, Department of Information and Computer 
  Science, University of California, Irvine, CA.
Info: This data set includes votes for each of the U.S. House of Representatives
  Congressmen on the 16 key votes identified by the CQA. The CQA lists nine 
  different types of votes: voted for, paired for, and announced for (these three 
  simplified to "p"), voted against, paired against, and announced against (these 
  three simplified to "n"), voted present, voted present to avoid conflict of 
  interest, and did not vote or otherwise make a position known (these three 
  simplified to "z").
Number of Rows: 435 (267 democrats, 168 republicans)
Number of Cols: name (r - republican, d - democrat) + 16 cases
Converted by: Vladimir Batagelj, July 1, 2022 
------------------------
"","handicapped.infants","water.project.cost.sharing","adoption.of.the.budget.resolution","physician.fee.freeze","el.salvador.aid","religious.groups.in.schools","anti.satellite.test.ban","aid.to.nicaraguan.contras","mx.missile","immigration","synfuels.corporation.cutback","education.spending","superfund.right.to.sue","crime","duty.free.exports","export.administration.act.south.africa"
"r001","n","p","n","p","p","p","n","n","n","p","z","p","p","p","n","p"
"r002","n","p","n","p","p","p","n","n","n","n","n","p","p","p","n","z"
"d003","z","p","p","z","p","p","n","n","n","n","p","n","p","p","n","n"
"d004","n","p","p","n","z","p","n","n","n","n","p","n","p","n","n","p"
"d005","p","p","p","n","p","p","n","n","n","n","p","z","p","p","p","p"
"d006","n","p","p","n","p","p","n","n","n","n","n","n","p","p","p","p"
"d007","n","p","n","p","p","p","n","n","n","n","n","n","z","p","p","p"
"r008","n","p","n","p","p","p","n","n","n","n","n","n","p","p","z","p"
"r009","n","p","n","p","p","p","n","n","n","n","n","p","p","p","n","p"
"d010","p","p","p","n","n","n","p","p","p","n","n","n","n","n","z","z"
"r011","n","p","n","p","p","n","n","n","n","n","z","z","p","p","n","n"
"r012","n","p","n","p","p","p","n","n","n","n","p","z","p","p","z","z"
"d013","n","p","p","n","n","n","p","p","p","n","n","n","p","n","z","z"
"d014","p","p","p","n","n","p","p","p","z","p","p","z","n","n","p","z"
"r015","n","p","n","p","p","p","n","n","n","n","n","p","z","z","n","z"
"r016","n","p","n","p","p","p","n","n","n","p","n","p","p","z","n","z"
"d017","p","n","p","n","n","p","n","p","z","p","p","p","z","n","n","p"
"d018","p","z","p","n","n","n","p","p","p","n","n","n","p","n","p","p"
"r019","n","p","n","p","p","p","n","n","n","n","n","z","p","p","n","n"
"d020","p","p","p","n","n","n","p","p","p","n","p","n","n","n","p","p"
"d021","p","p","p","n","n","z","p","p","n","n","p","n","n","n","p","p"
"d022","p","p","p","n","n","n","p","p","p","n","n","n","z","z","p","p"
"d023","p","z","p","n","n","n","p","p","p","n","n","z","n","n","p","p"
"d024","p","p","p","n","n","n","p","p","p","n","n","n","n","n","p","p"
"d025","p","n","p","n","n","n","p","p","p","n","n","n","n","n","p","z"
"d026","p","n","p","n","n","n","p","p","p","p","n","n","n","n","p","p"
"d027","p","n","p","n","n","n","p","p","p","n","p","n","n","n","p","p"
"d028","p","p","p","n","n","n","p","p","p","n","p","n","n","n","p","p"
"r029","p","n","n","p","p","n","p","p","p","n","n","p","p","p","n","p"
"d030","p","p","p","n","n","n","p","p","p","n","p","n","n","n","p","p"
"r031","n","p","n","p","p","p","n","n","n","n","n","p","p","p","n","n"
"d032","p","p","p","n","n","n","p","p","p","n","p","n","n","n","p","z"
"d033","p","p","p","n","n","n","p","p","p","p","n","n","p","n","p","p"
"r034","n","p","n","p","p","p","n","n","n","n","n","p","p","p","n","p"
"d035","p","p","p","n","n","n","p","p","p","n","n","n","n","n","p","p"
"r036","n","p","n","p","p","p","n","n","n","n","n","p","p","p","n","n"
"r037","p","z","n","p","p","p","n","n","n","p","n","p","z","p","n","p"
"r038","p","p","n","p","p","p","n","n","n","n","n","n","p","p","n","p"
"r039","n","p","n","p","p","p","n","n","n","p","n","p","p","p","n","n"
"d040","p","n","p","n","n","n","p","p","p","p","p","n","p","n","p","p"
"d041","p","p","p","n","n","n","p","p","p","n","z","n","n","n","n","z"
"d042","p","p","p","n","n","n","p","p","p","n","n","n","n","n","p","z"
"d043","p","n","p","n","n","n","p","p","p","n","n","n","n","n","n","p"
"d044","p","n","p","n","n","n","p","p","p","n","n","n","n","n","p","p"
"d045","p","p","p","n","n","n","p","p","p","n","p","n","n","n","n","z"
"d046","p","p","p","n","n","n","p","p","z","n","p","n","n","n","p","z"
"d047","p","p","p","n","n","n","p","p","p","n","n","n","n","n","n","p"
"d048","p","n","p","n","n","n","p","p","z","n","n","n","n","n","n","z"
"d049","p","p","p","n","n","n","p","p","n","n","n","n","n","p","n","p"
"r050","n","z","n","p","p","p","n","n","n","n","n","p","p","p","n","n"
"d051","p","p","p","n","n","n","p","p","p","n","p","n","n","n","p","p"
"r052","n","p","n","p","p","p","n","z","n","n","n","p","p","p","n","p"
"d053","p","p","p","n","n","n","p","p","p","n","n","n","n","n","z","z"
"r054","p","p","n","p","p","p","n","n","n","p","n","p","p","p","n","n"
"d055","p","p","p","n","n","p","z","p","n","n","p","p","n","p","n","z"
"r056","n","p","n","p","p","p","n","n","n","p","p","p","p","p","n","n"
"r057","n","p","n","p","p","p","n","n","n","p","p","p","p","p","n","p"
"r058","n","p","n","p","p","p","n","n","n","p","n","p","p","p","n","p"
"r059","n","p","n","p","p","p","n","n","n","p","n","p","p","p","n","p"
"r060","n","p","n","p","p","p","n","n","n","p","n","p","p","p","n","z"
"d061","p","p","p","n","n","z","p","p","p","p","n","n","n","n","p","z"
